"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2012-09-09,"georgia state","texas-san antonio","3",2012-09-15,"Sat","38","14",NA,NA,NA,NA,NA,NA
2012-09-09,"houston","ucla","3",2012-09-15,"Sat","37","6",23,22,NA,NA,1,1
2012-09-09,"idaho","louisiana state","3",2012-09-15,"Sat","63","14",2,3,NA,NA,1,1
2012-09-09,"indiana","ball state","3",2012-09-15,"Sat","41","39",NA,NA,NA,NA,NA,NA
2012-09-09,"james madison","west virginia","3",2012-09-15,"Sat","42","12",8,9,NA,NA,1,1
2012-09-09,"kansas","texas christian","3",2012-09-15,"Sat","20","6",15,16,NA,NA,1,1
2012-09-09,"kentucky","western kentucky","3",2012-09-15,"Sat","32","31",NA,NA,NA,NA,NA,NA
2012-09-09,"lamar","hawaii","3",2012-09-15,"Sat","54","2",NA,NA,NA,NA,NA,NA
2012-09-09,"louisiana","oklahoma state","3",2012-09-15,"Sat","65","24",NA,NA,NA,NA,NA,NA
2012-09-09,"louisiana-monroe","auburn","3",2012-09-15,"Sat","31","28",NA,NA,NA,NA,NA,NA
2012-09-09,"marshall","ohio","3",2012-09-15,"Sat","27","24",NA,NA,NA,NA,NA,NA
2012-09-09,"maryland","connecticut","3",2012-09-15,"Sat","24","21",NA,NA,NA,NA,NA,NA
2012-09-09,"massachusetts","michigan","3",2012-09-15,"Sat","63","13",18,17,NA,NA,1,1
2012-09-09,"memphis","middle tennessee state","3",2012-09-15,"Sat","48","30",NA,NA,NA,NA,NA,NA
2012-09-09,"miami (oh)","boise state","3",2012-09-15,"Sat","39","12",NA,NA,NA,NA,NA,NA
2012-09-09,"michigan state","notre dame","3",2012-09-15,"Sat","20","3",19,20,10,10,0,0
2012-09-09,"mississippi","texas","3",2012-09-15,"Sat","66","31",12,14,NA,NA,1,1
2012-09-09,"morgan state","akron","3",2012-09-15,"Sat","66","6",NA,NA,NA,NA,NA,NA
2012-09-09,"navy","penn state","3",2012-09-15,"Sat","34","7",NA,NA,NA,NA,NA,NA
2012-09-09,"nevada-las vegas","washington state","3",2012-09-14,"Fri","35","27",NA,NA,NA,NA,NA,NA
2012-09-09,"new mexico","texas tech","3",2012-09-15,"Sat","49","14",NA,NA,NA,NA,NA,NA
2012-09-09,"new mexico state","texas-el paso","3",2012-09-15,"Sat","41","28",NA,NA,NA,NA,NA,NA
2012-09-09,"nicholls state","tulsa","3",2012-09-15,"Sat","66","16",NA,NA,NA,NA,NA,NA
2012-09-09,"north carolina","louisville","3",2012-09-15,"Sat","39","34",20,19,NA,NA,1,1
2012-09-09,"north carolina central","duke","3",2012-09-15,"Sat","54","17",NA,NA,NA,NA,NA,NA
2012-09-09,"north dakota","san diego state","3",2012-09-15,"Sat","49","41",NA,NA,NA,NA,NA,NA
2012-09-09,"north texas","kansas state","3",2012-09-15,"Sat","35","21",14,15,NA,NA,1,1
2012-09-09,"northern iowa","iowa","3",2012-09-15,"Sat","27","16",NA,NA,NA,NA,NA,NA
2012-09-09,"northwestern state","nevada","3",2012-09-15,"Sat","45","34",NA,NA,NA,NA,NA,NA
2012-09-09,"portland state","washington","3",2012-09-15,"Sat","52","13",NA,NA,NA,NA,NA,NA
2012-09-09,"presbyterian","vanderbilt","3",2012-09-15,"Sat","58","0",NA,NA,NA,NA,NA,NA
2012-09-09,"rice","louisiana tech","3",2012-09-15,"Sat","56","37",NA,NA,NA,NA,NA,NA
2012-09-09,"sam houston state","baylor","3",2012-09-15,"Sat","48","23",NA,NA,NA,NA,NA,NA
2012-09-09,"south alabama","north carolina state","3",2012-09-15,"Sat","31","7",NA,NA,NA,NA,NA,NA
2012-09-09,"south carolina state","arizona","3",2012-09-15,"Sat","56","0",25,24,NA,NA,1,1
2012-09-09,"south florida","rutgers","3",2012-09-13,"Thu","23","13",NA,NA,NA,NA,NA,NA
2012-09-09,"southern california","stanford","3",2012-09-15,"Sat","21","14",16,21,3,2,0,0
2012-09-09,"southern methodist","texas a&m","3",2012-09-15,"Sat","48","3",NA,NA,NA,NA,NA,NA
2012-09-09,"southern mississippi","east carolina","3",2012-09-15,"Sat","24","14",NA,NA,NA,NA,NA,NA
2012-09-09,"stony brook","syracuse","3",2012-09-15,"Sat","28","17",NA,NA,NA,NA,NA,NA
2012-09-09,"tennessee","florida","3",2012-09-15,"Sat","37","20",17,18,NA,23,1,1
2012-09-09,"tennessee tech","oregon","3",2012-09-15,"Sat","63","14",4,4,NA,NA,1,1
2012-09-09,"troy","mississippi state","3",2012-09-15,"Sat","30","24",NA,NA,NA,NA,NA,NA
2012-09-09,"utah state","wisconsin","3",2012-09-15,"Sat","16","14",22,NA,NA,NA,1,NA
2012-09-09,"virginia","georgia tech","3",2012-09-15,"Sat","56","20",NA,NA,NA,NA,NA,NA
2012-09-09,"virginia tech","pittsburgh","3",2012-09-15,"Sat","35","17",NA,NA,13,13,0,0
2012-09-09,"wake forest","florida state","3",2012-09-15,"Sat","52","0",6,5,NA,NA,1,1
2012-09-09,"western illinois","iowa state","3",2012-09-15,"Sat","37","3",NA,NA,NA,NA,NA,NA
2012-09-09,"western michigan","minnesota","3",2012-09-15,"Sat","28","23",NA,NA,NA,NA,NA,NA
2012-09-09,"wyoming","cal poly","3",2012-09-15,"Sat","24","22",NA,NA,NA,NA,NA,NA
2012-09-16,"air force","nevada-las vegas","4",2012-09-22,"Sat","38","35",NA,NA,NA,NA,NA,NA
2012-09-16,"akron","tennessee","4",2012-09-22,"Sat","47","26",NA,NA,NA,NA,NA,NA
2012-09-16,"alabama-birmingham","ohio state","4",2012-09-22,"Sat","29","15",NA,16,NA,NA,NA,1
2012-09-16,"alcorn state","arkansas state","4",2012-09-22,"Sat","56","0",NA,NA,NA,NA,NA,NA
2012-09-16,"arizona","oregon","4",2012-09-22,"Sat","49","0",3,3,21,22,1,1
2012-09-16,"arkansas","rutgers","4",2012-09-22,"Sat","35","26",NA,NA,NA,NA,NA,NA
2012-09-16,"army","wake forest","4",2012-09-22,"Sat","49","37",NA,NA,NA,NA,NA,NA
2012-09-16,"auburn","louisiana state","4",2012-09-22,"Sat","12","10",2,2,NA,NA,1,1
2012-09-16,"bowling green state","virginia tech","4",2012-09-22,"Sat","37","0",NA,NA,NA,NA,NA,NA
